Row ID,Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales
37,CA-2017-117590,08-12-2017,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92
38,CA-2016-117415,27-12-2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328
39,CA-2016-117415,27-12-2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992
40,CA-2016-117415,27-12-2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058
41,CA-2016-117415,27-12-2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168
42,CA-2018-120999,10-09-2018,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168
43,CA-2017-101343,17-07-2017,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88
44,CA-2018-139619,19-09-2018,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616
45,CA-2017-118255,11-03-2017,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98
46,CA-2017-118255,11-03-2017,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46
47,CA-2015-146703,20-10-2015,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96
48,CA-2017-169194,20-06-2017,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45
49,CA-2017-169194,20-06-2017,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8
50,CA-2016-115742,18-04-2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22
51,CA-2016-115742,18-04-2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18
52,CA-2016-115742,18-04-2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16
53,CA-2016-115742,18-04-2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99
54,CA-2017-105816,11-12-2017,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26
55,CA-2017-105816,11-12-2017,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95
56,CA-2017-111682,17-06-2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56
57,CA-2017-111682,17-06-2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4
58,CA-2017-111682,17-06-2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41
59,CA-2017-111682,17-06-2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56
60,CA-2017-111682,17-06-2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30
61,CA-2017-111682,17-06-2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48
62,CA-2017-111682,17-06-2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68
63,CA-2016-135545,24-11-2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98
64,CA-2016-135545,24-11-2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824
65,CA-2016-135545,24-11-2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73
66,CA-2016-135545,24-11-2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76
67,US-2016-164175,30-04-2016,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115
68,CA-2015-106376,05-12-2015,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
71,CA-2017-106075,18-09-2017,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616
72,CA-2018-114440,14-09-2018,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05
73,US-2016-134026,26-04-2016,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936
74,US-2016-134026,26-04-2016,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04
75,US-2016-134026,26-04-2016,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784
76,US-2018-118038,09-12-2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248
77,US-2018-118038,09-12-2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708
78,US-2018-118038,09-12-2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24
79,US-2015-147606,26-11-2015,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3
80,CA-2017-127208,12-06-2017,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16
81,CA-2017-127208,12-06-2017,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74
82,CA-2015-139451,12-10-2015,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9
83,CA-2015-139451,12-10-2015,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39
84,CA-2016-149734,03-09-2016,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984
85,US-2018-119662,13-11-2018,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376
86,CA-2018-140088,28-05-2018,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96
87,CA-2018-155558,26-10-2018,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99
88,CA-2018-155558,26-10-2018,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16
89,CA-2017-159695,05-04-2017,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368
90,CA-2017-109806,17-09-2017,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1
91,CA-2017-109806,17-09-2017,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584
92,CA-2017-109806,17-09-2017,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48
93,CA-2016-149587,31-01-2016,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96
94,CA-2016-149587,31-01-2016,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34
95,CA-2016-149587,31-01-2016,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96
96,US-2018-109484,06-11-2018,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682
97,CA-2018-161018,09-11-2018,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53
98,CA-2018-157833,17-06-2018,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312
99,CA-2017-149223,06-09-2017,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88
100,CA-2017-158568,29-08-2017,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624
101,CA-2017-158568,29-08-2017,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976
102,CA-2017-158568,29-08-2017,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788
103,CA-2017-129903,01-12-2017,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92
104,US-2016-156867,13-11-2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896
105,US-2016-156867,13-11-2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36
106,US-2016-156867,13-11-2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882
107,CA-2018-119004,23-11-2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112
108,CA-2018-119004,23-11-2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992
109,CA-2018-119004,23-11-2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304
110,CA-2016-129476,15-10-2016,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96
,,,,,,,,,,,,,,
112,CA-2017-128867,03-11-2017,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96
113,CA-2017-128867,03-11-2017,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24
114,CA-2015-115259,25-08-2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096
115,CA-2015-115259,25-08-2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72
116,CA-2015-115259,25-08-2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976
117,CA-2015-115259,25-08-2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464
118,CA-2016-110457,02-03-2016,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53
119,US-2016-136476,05-04-2016,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.794
120,CA-2017-103730,12-06-2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04
121,CA-2017-103730,12-06-2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84
122,CA-2017-103730,12-06-2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56
123,CA-2017-103730,12-06-2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02
124,CA-2017-103730,12-06-2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04
125,US-2015-152030,26-12-2015,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558
126,US-2015-134614,20-09-2015,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7
127,US-2018-107272,05-11-2018,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388
128,US-2018-107272,05-11-2018,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.992
129,US-2017-125969,06-11-2017,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424
130,US-2017-125969,06-11-2017,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56
131,US-2018-164147,02-02-2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97
132,US-2018-164147,02-02-2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304
133,US-2018-164147,02-02-2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456
134,CA-2017-145583,13-10-2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04
135,CA-2017-145583,13-10-2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44
136,CA-2017-145583,13-10-2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52
137,CA-2017-145583,13-10-2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02
138,CA-2017-145583,13-10-2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.176
139,CA-2017-145583,13-10-2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88
140,CA-2017-145583,13-10-2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12
141,CA-2017-110366,05-09-2017,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8
142,CA-2018-106180,18-09-2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82
143,CA-2018-106180,18-09-2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86
144,CA-2018-106180,18-09-2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7
145,CA-2018-155376,22-12-2018,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43
146,CA-2016-110744,07-09-2016,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93
147,CA-2015-110072,22-10-2015,Standard Class,MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.888
148,CA-2017-114489,05-12-2017,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45
149,CA-2017-114489,05-12-2017,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97
150,CA-2017-114489,05-12-2017,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84
151,CA-2017-114489,05-12-2017,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55
152,CA-2017-158834,13-03-2017,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92
153,CA-2017-158834,13-03-2017,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203.184
154,CA-2016-124919,31-05-2016,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.38
155,CA-2016-124919,31-05-2016,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,105.52
156,CA-2016-124919,31-05-2016,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,80.88
157,CA-2016-118948,28-05-2016,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63
158,CA-2015-104269,01-03-2015,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457.568
159,CA-2017-114104,20-11-2017,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62
160,CA-2017-114104,20-11-2017,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93
161,CA-2017-162733,11-05-2017,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98
162,CA-2016-119697,28-12-2016,Second Class,EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384
163,CA-2017-154508,16-11-2017,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.4
164,CA-2017-113817,07-11-2017,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.68
165,CA-2015-139892,08-09-2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,9.936
166,CA-2015-139892,08-09-2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,8159.952
167,CA-2015-139892,08-09-2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,275.928
168,CA-2015-139892,08-09-2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.06
169,CA-2015-139892,08-09-2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,32.064
170,CA-2015-139892,08-09-2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.98
171,CA-2015-139892,08-09-2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,143.976
172,CA-2015-118962,05-08-2015,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,20.94
173,CA-2015-118962,05-08-2015,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,110.96
174,CA-2015-118962,05-08-2015,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,340.144
175,US-2015-100853,14-09-2015,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,52.448
176,US-2015-100853,14-09-2015,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,20.16
177,US-2018-152366,21-04-2018,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,97.264
178,US-2016-101511,21-11-2016,Second Class,JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,396.802
179,US-2016-101511,21-11-2016,Second Class,JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,15.88
180,CA-2016-137225,15-12-2016,Standard Class,JK-15640,Jim Kriz,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,3.28
181,CA-2015-166191,05-12-2015,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,24.816
182,CA-2015-166191,05-12-2015,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,408.744
183,CA-2015-158274,19-11-2015,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,503.96
184,CA-2015-158274,19-11-2015,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,149.95
185,CA-2015-158274,19-11-2015,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,29
186,CA-2017-105018,28-11-2017,Standard Class,SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,7.16
187,CA-2015-123260,26-08-2015,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,176.8
